WKT,order,lat,lon,count
"POINT (5993983.93639142 1977846.13763048)",Hemiptera,1977846.13763048,5993983.93639142,"1"
"POINT (5995076.26225593 1976410.53046803)",Hymenoptera,1976410.53046803,5995076.26225593,"19"
"POINT (5995064.47154424 1976425.31020975)",Hymenoptera,1976425.31020975,5995064.47154424,"1"
"POINT (5995070.36689863 1976417.92033832)",Hymenoptera,1976417.92033832,5995070.36689863,"1"
"POINT (5995073.31457691 1976414.22540303)",Hymenoptera,1976414.22540303,5995073.31457691,"1"
"POINT (5995067.41922107 1976421.6152739)",Hymenoptera,1976421.6152739,5995067.41922107,"1"
"POINT (5995213.93366924 1977384.89010986)",Hymenoptera,1977384.89010986,5995213.93366924,"20"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Hymenoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5995213.93366924 1977384.89010986)",Hymenoptera,1977384.89010986,5995213.93366924,"20"
"POINT (5995213.93366924 1977384.89010986)",Hymenoptera,1977384.89010986,5995213.93366924,"20"
"POINT (5994302.78840082 1977152.96577913)",Coleoptera,1977152.96577913,5994302.78840082,"8"
"POINT (5995213.93366924 1977384.89010986)",Hymenoptera,1977384.89010986,5995213.93366924,"20"
"POINT (5995213.93366924 1977384.89010986)",Hymenoptera,1977384.89010986,5995213.93366924,"20"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5995250.54812962 1977826.81028679)",Coleoptera,1977826.81028679,5995250.54812962,"10"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5995250.54812962 1977826.81028679)",Coleoptera,1977826.81028679,5995250.54812962,"10"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5995250.54812962 1977826.81028679)",Coleoptera,1977826.81028679,5995250.54812962,"10"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994659.89804191 1976891.49492071)",Coleoptera,1976891.49492071,5994659.89804191,"31"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5994985.95127727 1978195.73981903)",Coleoptera,1978195.73981903,5994985.95127727,"10"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5994302.78840082 1977152.96577913)",Coleoptera,1977152.96577913,5994302.78840082,"8"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5995250.54812962 1977826.81028679)",Coleoptera,1977826.81028679,5995250.54812962,"10"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5994985.95127727 1978195.73981903)",Coleoptera,1978195.73981903,5994985.95127727,"10"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5994985.95127727 1978195.73981903)",Coleoptera,1978195.73981903,5994985.95127727,"10"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5994302.78840082 1977152.96577913)",Coleoptera,1977152.96577913,5994302.78840082,"8"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5995250.54812962 1977826.81028679)",Coleoptera,1977826.81028679,5995250.54812962,"10"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5994302.78840082 1977152.96577913)",Coleoptera,1977152.96577913,5994302.78840082,"8"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5995250.54812962 1977826.81028679)",Coleoptera,1977826.81028679,5995250.54812962,"10"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5994985.95127727 1978195.73981903)",Coleoptera,1978195.73981903,5994985.95127727,"10"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5994985.95127727 1978195.73981903)",Coleoptera,1978195.73981903,5994985.95127727,"10"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994169.71955423 1978101.81548325)",Coleoptera,1978101.81548325,5994169.71955423,"24"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5996043.41777605 1978285.18345602)",Coleoptera,1978285.18345602,5996043.41777605,"33"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994302.78840082 1977152.96577913)",Coleoptera,1977152.96577913,5994302.78840082,"8"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5995250.54812962 1977826.81028679)",Coleoptera,1977826.81028679,5995250.54812962,"10"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
